type,count,loc,timestamp,note
js,0,0,2025-01-20T21:25:37.039Z,vue plain
ts,3,103,2025-01-20T21:25:37.039Z,vue plain
jsx,0,0,2025-01-20T21:25:37.039Z,vue plain
tsx,0,0,2025-01-20T21:25:37.039Z,vue plain
vue,1,21,2025-01-20T21:25:37.039Z,vue plain
json,4,4,2025-01-20T21:25:37.039Z,vue plain
js,1,27,2025-01-20T21:25:42.252Z,react plain
ts,2,72,2025-01-20T21:25:42.252Z,react plain
jsx,0,0,2025-01-20T21:25:42.252Z,react plain
tsx,2,52,2025-01-20T21:25:42.252Z,react plain
vue,0,0,2025-01-20T21:25:42.252Z,react plain
json,4,4,2025-01-20T21:25:42.252Z,react plain
